Srcy1,Srcx1,Srcy2,Srcx2,Dsty1,Dstx1,Dsty2,Dstx2
30,507,133,399,34,502,136,383
133,399,312,397,136,383,326,372
312,397,533,22,326,372,570,24
158,566,269,558,160,559,262,552
269,558,200,475,262,552,227,436
200,475,292,448,227,436,340,461
292,448,376,501,340,461,389,491
376,501,411,585,389,491,418,554
411,585,361,659,418,554,355,647
361,659,239,674,355,647,248,659
239,674,164,658,248,659,176,651
468,575,473,439,484,531,465,438
473,439,832,343,465,438,776,280
832,343,902,23,776,280,978,11
11,597,90,828,21,582,71,712
90,828,435,825,71,712,326,807
435,825,596,1010,326,807,480,1017
596,1010,855,1020,480,1017,773,1020
485,695,530,821,496,671,526,780
530,821,896,883,526,780,852,896
896,883,993,1015,852,896,1001,1012
649,481,925,514,656,442,912,509
925,514,966,747,912,509,925,791
966,747,793,784,925,791,815,809
553,665,772,702,581,648,778,702
